WARNING: Could not remove empty redirect log 'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_5_full_supervisor_20260824_132312.stderr.log': Exception calling "Delete" with "1" argument(s): "The process cannot access the file 'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_5_full_supervisor_20260824_132312.stderr.log' because it is being used by another process."
WARNING: Could not remove empty redirect log 'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_5_full_supervisor_20260824_132312.stdout.log': Exception calling "Delete" with "1" argument(s): "The process cannot access the file 'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_5_full_supervisor_20260824_132312.stdout.log' because it is being used by another process."
FULL_EXTRACTION_START pid=45224 records=128
THERMAL gpu_temp_c=48 records=128 errors=0
THERMAL gpu_temp_c=49 records=128 errors=0
THERMAL gpu_temp_c=55 records=128 errors=0
THERMAL gpu_temp_c=51 records=128 errors=0
THERMAL gpu_temp_c=52 records=128 errors=0
THERMAL gpu_temp_c=53 records=128 errors=0
THERMAL gpu_temp_c=53 records=128 errors=0
THERMAL gpu_temp_c=54 records=128 errors=0
THERMAL gpu_temp_c=55 records=128 errors=0
THERMAL gpu_temp_c=55 records=128 errors=0
THERMAL gpu_temp_c=56 records=128 errors=0
THERMAL gpu_temp_c=57 records=128 errors=0
THERMAL gpu_temp_c=57 records=128 errors=0
THERMAL gpu_temp_c=58 records=128 errors=0
THERMAL gpu_temp_c=57 records=128 errors=0
THERMAL gpu_temp_c=58 records=128 errors=0
THERMAL gpu_temp_c=58 records=132 errors=0
THERMAL gpu_temp_c=56 records=132 errors=0
THERMAL gpu_temp_c=55 records=132 errors=0
THERMAL gpu_temp_c=56 records=132 errors=0
THERMAL gpu_temp_c=57 records=132 errors=0
THERMAL gpu_temp_c=57 records=132 errors=0
THERMAL gpu_temp_c=57 records=132 errors=0
THERMAL gpu_temp_c=58 records=132 errors=0
THERMAL gpu_temp_c=58 records=132 errors=0
THERMAL gpu_temp_c=58 records=132 errors=0
THERMAL gpu_temp_c=58 records=132 errors=0
THERMAL gpu_temp_c=58 records=132 errors=0
THERMAL gpu_temp_c=58 records=132 errors=0
THERMAL gpu_temp_c=58 records=132 errors=0
THERMAL gpu_temp_c=58 records=132 errors=0
THERMAL gpu_temp_c=58 records=132 errors=0
THERMAL gpu_temp_c=58 records=132 errors=0
THERMAL gpu_temp_c=57 records=136 errors=0
THERMAL gpu_temp_c=55 records=136 errors=0
THERMAL gpu_temp_c=56 records=136 errors=0
THERMAL gpu_temp_c=57 records=136 errors=0
THERMAL gpu_temp_c=57 records=136 errors=0
THERMAL gpu_temp_c=57 records=136 errors=0
THERMAL gpu_temp_c=57 records=136 errors=0
THERMAL gpu_temp_c=58 records=136 errors=0
THERMAL gpu_temp_c=58 records=136 errors=0
THERMAL gpu_temp_c=58 records=136 errors=0
THERMAL gpu_temp_c=58 records=136 errors=0
THERMAL gpu_temp_c=59 records=136 errors=0
THERMAL gpu_temp_c=59 records=136 errors=0
THERMAL gpu_temp_c=59 records=136 errors=0
THERMAL gpu_temp_c=59 records=136 errors=0
THERMAL gpu_temp_c=59 records=136 errors=0
THERMAL gpu_temp_c=57 records=140 errors=0
THERMAL gpu_temp_c=56 records=140 errors=0
THERMAL gpu_temp_c=57 records=140 errors=0
THERMAL gpu_temp_c=57 records=140 errors=0
THERMAL gpu_temp_c=58 records=140 errors=0
THERMAL gpu_temp_c=58 records=140 errors=0
THERMAL gpu_temp_c=59 records=140 errors=0
THERMAL gpu_temp_c=59 records=140 errors=0
THERMAL gpu_temp_c=60 records=140 errors=0
THERMAL gpu_temp_c=60 records=140 errors=0
THERMAL gpu_temp_c=61 records=140 errors=0
THERMAL gpu_temp_c=61 records=140 errors=0
THERMAL gpu_temp_c=61 records=140 errors=0
THERMAL gpu_temp_c=62 records=140 errors=0
THERMAL gpu_temp_c=62 records=140 errors=0
THERMAL gpu_temp_c=62 records=140 errors=0
THERMAL gpu_temp_c=61 records=144 errors=0
THERMAL gpu_temp_c=59 records=144 errors=0
THERMAL gpu_temp_c=63 records=144 errors=0
THERMAL gpu_temp_c=59 records=144 errors=0
THERMAL gpu_temp_c=60 records=144 errors=0
THERMAL gpu_temp_c=60 records=144 errors=0
THERMAL gpu_temp_c=60 records=144 errors=0
THERMAL gpu_temp_c=60 records=144 errors=0
THERMAL gpu_temp_c=60 records=144 errors=0
THERMAL gpu_temp_c=60 records=144 errors=0
THERMAL gpu_temp_c=60 records=144 errors=0
THERMAL gpu_temp_c=60 records=144 errors=0
THERMAL gpu_temp_c=60 records=144 errors=0
THERMAL gpu_temp_c=60 records=144 errors=0
THERMAL gpu_temp_c=61 records=144 errors=0
THERMAL gpu_temp_c=60 records=144 errors=0
THERMAL gpu_temp_c=59 records=148 errors=0
THERMAL gpu_temp_c=57 records=148 errors=0
THERMAL gpu_temp_c=58 records=148 errors=0
THERMAL gpu_temp_c=58 records=148 errors=0
THERMAL gpu_temp_c=59 records=148 errors=0
THERMAL gpu_temp_c=59 records=148 errors=0
THERMAL gpu_temp_c=59 records=148 errors=0
THERMAL gpu_temp_c=59 records=148 errors=0
THERMAL gpu_temp_c=59 records=148 errors=0
