WARNING: Could not remove empty redirect log 
'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_8_full_wrapper_20260827_103133.stderr.log': Exception 
calling "Delete" with "1" argument(s): "The process cannot access the file 
'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_8_full_wrapper_20260827_103133.stderr.log' because it is 
being used by another process."
WARNING: Could not remove empty redirect log 
'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_8_full_wrapper_20260827_103133.stdout.log': Exception 
calling "Delete" with "1" argument(s): "The process cannot access the file 
'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_8_full_wrapper_20260827_103133.stdout.log' because it is 
being used by another process."
FULL_EXTRACTION_START pid=25224 records=0
THERMAL gpu_temp_c=51 records=0 errors=0
THERMAL gpu_temp_c=56 records=0 errors=0
THERMAL gpu_temp_c=55 records=0 errors=0
THERMAL gpu_temp_c=57 records=0 errors=0
THERMAL gpu_temp_c=57 records=0 errors=0
THERMAL gpu_temp_c=58 records=0 errors=0
THERMAL gpu_temp_c=60 records=0 errors=0
THERMAL gpu_temp_c=61 records=0 errors=0
THERMAL gpu_temp_c=61 records=0 errors=0
THERMAL gpu_temp_c=60 records=4 errors=0
THERMAL gpu_temp_c=58 records=4 errors=0
THERMAL gpu_temp_c=62 records=4 errors=0
THERMAL gpu_temp_c=62 records=4 errors=0
THERMAL gpu_temp_c=63 records=4 errors=0
THERMAL gpu_temp_c=63 records=4 errors=0
THERMAL gpu_temp_c=63 records=4 errors=0
THERMAL gpu_temp_c=64 records=4 errors=0
THERMAL gpu_temp_c=64 records=4 errors=0
THERMAL gpu_temp_c=64 records=4 errors=0
THERMAL gpu_temp_c=63 records=8 errors=0
THERMAL gpu_temp_c=63 records=8 errors=0
THERMAL gpu_temp_c=66 records=8 errors=0
THERMAL gpu_temp_c=65 records=8 errors=0
THERMAL gpu_temp_c=66 records=8 errors=0
THERMAL gpu_temp_c=65 records=8 errors=0
THERMAL gpu_temp_c=66 records=8 errors=0
THERMAL gpu_temp_c=66 records=8 errors=0
THERMAL gpu_temp_c=66 records=8 errors=0
THERMAL gpu_temp_c=66 records=8 errors=0
THERMAL gpu_temp_c=66 records=8 errors=0
THERMAL gpu_temp_c=64 records=12 errors=0
THERMAL gpu_temp_c=63 records=12 errors=0
THERMAL gpu_temp_c=66 records=12 errors=0
THERMAL gpu_temp_c=65 records=12 errors=0
THERMAL gpu_temp_c=65 records=12 errors=0
THERMAL gpu_temp_c=65 records=12 errors=0
THERMAL gpu_temp_c=66 records=12 errors=0
THERMAL gpu_temp_c=67 records=12 errors=0
THERMAL gpu_temp_c=67 records=12 errors=0
THERMAL gpu_temp_c=66 records=12 errors=0
THERMAL gpu_temp_c=65 records=16 errors=0
THERMAL gpu_temp_c=62 records=16 errors=0
THERMAL gpu_temp_c=65 records=16 errors=0
THERMAL gpu_temp_c=66 records=16 errors=0
THERMAL gpu_temp_c=66 records=16 errors=0
THERMAL gpu_temp_c=66 records=16 errors=0
THERMAL gpu_temp_c=66 records=16 errors=0
THERMAL gpu_temp_c=66 records=16 errors=0
THERMAL gpu_temp_c=66 records=16 errors=0
THERMAL gpu_temp_c=66 records=20 errors=0
THERMAL gpu_temp_c=64 records=20 errors=0
THERMAL gpu_temp_c=62 records=20 errors=0
THERMAL gpu_temp_c=66 records=20 errors=0
THERMAL gpu_temp_c=66 records=20 errors=0
THERMAL gpu_temp_c=66 records=20 errors=0
THERMAL gpu_temp_c=67 records=20 errors=0
THERMAL gpu_temp_c=66 records=20 errors=0
THERMAL gpu_temp_c=67 records=20 errors=0
THERMAL gpu_temp_c=67 records=20 errors=0
THERMAL gpu_temp_c=65 records=24 errors=0
THERMAL gpu_temp_c=63 records=24 errors=0
THERMAL gpu_temp_c=68 records=24 errors=0
THERMAL gpu_temp_c=66 records=24 errors=0
THERMAL gpu_temp_c=66 records=24 errors=0
THERMAL gpu_temp_c=66 records=24 errors=0
THERMAL gpu_temp_c=67 records=24 errors=0
THERMAL gpu_temp_c=67 records=24 errors=0
THERMAL gpu_temp_c=66 records=24 errors=0
THERMAL gpu_temp_c=66 records=24 errors=0
THERMAL gpu_temp_c=66 records=28 errors=0
THERMAL gpu_temp_c=64 records=28 errors=0
THERMAL gpu_temp_c=63 records=28 errors=0
THERMAL gpu_temp_c=66 records=28 errors=0
THERMAL gpu_temp_c=66 records=28 errors=0
THERMAL gpu_temp_c=66 records=28 errors=0
THERMAL gpu_temp_c=67 records=28 errors=0
THERMAL gpu_temp_c=66 records=28 errors=0
THERMAL gpu_temp_c=66 records=28 errors=0
THERMAL gpu_temp_c=67 records=28 errors=0
THERMAL gpu_temp_c=66 records=32 errors=0
THERMAL gpu_temp_c=64 records=32 errors=0
THERMAL gpu_temp_c=69 records=32 errors=0
THERMAL gpu_temp_c=66 records=32 errors=0
THERMAL gpu_temp_c=67 records=32 errors=0
THERMAL gpu_temp_c=66 records=32 errors=0
THERMAL gpu_temp_c=66 records=32 errors=0
THERMAL gpu_temp_c=67 records=32 errors=0
THERMAL gpu_temp_c=67 records=32 errors=0
THERMAL gpu_temp_c=67 records=32 errors=0
THERMAL gpu_temp_c=66 records=36 errors=0
THERMAL gpu_temp_c=64 records=36 errors=0
THERMAL gpu_temp_c=67 records=36 errors=0
THERMAL gpu_temp_c=67 records=36 errors=0
THERMAL gpu_temp_c=67 records=36 errors=0
THERMAL gpu_temp_c=67 records=36 errors=0
THERMAL gpu_temp_c=67 records=36 errors=0
THERMAL gpu_temp_c=67 records=36 errors=0
THERMAL gpu_temp_c=67 records=36 errors=0
THERMAL gpu_temp_c=68 records=36 errors=0
THERMAL gpu_temp_c=65 records=40 errors=0
THERMAL gpu_temp_c=64 records=40 errors=0
THERMAL gpu_temp_c=67 records=40 errors=0
THERMAL gpu_temp_c=66 records=40 errors=0
THERMAL gpu_temp_c=67 records=40 errors=0
THERMAL gpu_temp_c=67 records=40 errors=0
THERMAL gpu_temp_c=68 records=40 errors=0
THERMAL gpu_temp_c=67 records=40 errors=0
THERMAL gpu_temp_c=67 records=40 errors=0
THERMAL gpu_temp_c=68 records=40 errors=0
THERMAL gpu_temp_c=66 records=44 errors=0
THERMAL gpu_temp_c=64 records=44 errors=0
THERMAL gpu_temp_c=67 records=44 errors=0
THERMAL gpu_temp_c=67 records=44 errors=0
THERMAL gpu_temp_c=66 records=44 errors=0
