date,time,side,entry,exit,qty,pnl,exit_type,balance
2026-01-25,16:00,SELL,1.82,1.85,87.209,-3.13,SL,96.87
2026-01-25,20:00,SELL,1.83,1.87,86.751,-3.03,SL,93.84
2026-01-26,00:00,SELL,1.87,1.90,81.362,-2.94,SL,90.90
2026-01-26,04:00,SELL,1.88,1.92,26.272,-0.95,SL,89.95
2026-01-29,04:00,SELL,1.88,1.84,20.822,+0.87,TP,90.82
2026-01-29,08:00,SELL,1.87,1.83,62.490,+2.63,TP,93.45
2026-01-29,16:00,SELL,1.79,1.73,52.305,+2.84,TP,96.29
2026-01-29,20:00,SELL,1.81,1.75,53.298,+2.92,TP,99.22
2026-01-30,00:00,SELL,1.75,1.68,56.803,+3.52,TP,102.74
2026-01-30,04:00,SELL,1.76,1.69,58.485,+3.75,TP,106.49
2026-01-30,08:00,SELL,1.77,1.70,60.163,+3.96,TP,110.45
2026-01-30,12:00,SELL,1.76,1.69,62.874,+4.23,TP,114.68
2026-01-30,16:00,SELL,1.77,1.70,64.788,+4.61,TP,119.28
2026-01-30,20:00,SELL,1.73,1.66,68.817,+4.99,TP,124.27
2026-03-16,00:00,BUY,1.47,1.50,127.679,+3.58,TP,127.85
2026-03-16,04:00,BUY,1.48,1.51,129.143,+3.68,TP,131.53
2026-03-16,08:00,BUY,1.47,1.50,126.474,+3.80,TP,135.33
2026-03-16,12:00,BUY,1.49,1.53,119.759,+3.92,TP,139.24
2026-03-16,16:00,BUY,1.53,1.57,108.220,+4.04,TP,143.29
2026-03-16,20:00,BUY,1.54,1.58,105.100,+4.17,TP,147.45
2026-03-17,00:00,BUY,1.54,1.50,95.542,-4.54,SL,142.91
2026-03-17,04:00,BUY,1.53,1.48,93.408,-4.40,SL,138.51
2026-03-17,08:00,BUY,1.51,1.46,91.731,-4.26,SL,134.25
2026-03-17,12:00,BUY,1.51,1.47,29.570,-1.38,SL,132.87
2026-03-17,16:00,BUY,1.53,1.49,28.885,-1.36,SL,131.51
2026-03-17,20:00,BUY,1.52,1.47,28.903,-1.35,SL,130.16
2026-03-18,00:00,BUY,1.54,1.49,28.234,-1.34,SL,128.82
2026-03-18,04:00,BUY,1.52,1.47,28.251,-1.32,SL,127.50
2026-03-31,08:00,SELL,1.31,1.35,40.605,-1.32,SL,126.18
2026-03-31,12:00,SELL,1.31,1.35,38.588,-1.30,SL,124.88
2026-04-02,08:00,SELL,1.30,1.33,37.056,-1.29,SL,123.59
2026-04-02,16:00,SELL,1.31,1.34,36.244,-1.27,SL,122.32
2026-04-02,20:00,SELL,1.32,1.29,36.954,+1.18,TP,123.50
2026-04-03,00:00,SELL,1.32,1.29,116.512,+3.58,TP,127.09
2026-04-03,04:00,SELL,1.32,1.29,122.591,+3.68,TP,130.77
2026-04-03,08:00,SELL,1.32,1.29,128.206,+3.79,TP,134.56
2026-04-03,12:00,SELL,1.32,1.29,136.840,+3.89,TP,138.45
2026-04-05,04:00,SELL,1.30,1.28,225.740,+3.92,TP,142.38
2026-04-05,08:00,SELL,1.30,1.28,251.250,+4.01,TP,146.39
2026-04-05,12:00,SELL,1.30,1.31,233.596,-4.64,SL,141.75
2026-04-05,16:00,SELL,1.30,1.32,232.380,-4.50,SL,137.26
2026-04-07,08:00,SELL,1.31,1.33,141.501,-4.27,SL,132.99
2026-04-07,12:00,SELL,1.30,1.33,46.017,-1.38,SL,131.61
2026-04-07,16:00,SELL,1.31,1.34,43.293,-1.36,SL,130.25
2026-04-14,00:00,BUY,1.37,1.39,47.536,+1.25,TP,131.50
2026-04-14,04:00,BUY,1.37,1.39,146.652,+3.78,TP,135.28
2026-04-14,08:00,BUY,1.37,1.39,165.650,+3.88,TP,139.16
2026-04-14,12:00,BUY,1.37,1.40,153.482,+4.00,TP,143.16
2026-04-14,16:00,BUY,1.36,1.39,145.587,+4.13,TP,147.30
2026-04-14,20:00,BUY,1.36,1.39,152.375,+4.25,TP,151.55
2026-04-16,00:00,BUY,1.41,1.44,138.610,+4.39,TP,155.94
2026-04-16,04:00,BUY,1.41,1.43,157.511,+4.50,TP,160.43
2026-04-16,08:00,BUY,1.41,1.44,159.372,+4.63,TP,165.07
2026-04-16,12:00,BUY,1.43,1.46,150.975,+4.78,TP,169.84
2026-04-16,16:00,BUY,1.46,1.43,136.238,-5.25,SL,164.59
2026-04-16,20:00,BUY,1.45,1.49,135.280,+4.78,TP,169.37
2026-04-17,00:00,BUY,1.43,1.47,137.699,+4.92,TP,174.29
2026-04-17,04:00,BUY,1.44,1.47,139.806,+5.07,TP,179.36
2026-04-17,08:00,BUY,1.45,1.49,137.614,+5.22,TP,184.58
2026-04-17,12:00,BUY,1.49,1.44,124.155,-5.68,SL,178.89
2026-04-17,16:00,BUY,1.49,1.44,120.332,-5.51,SL,173.39
2026-04-17,20:00,BUY,1.47,1.43,117.683,-5.34,SL,168.05
2026-04-18,00:00,BUY,1.47,1.42,38.721,-1.73,SL,166.32
2026-04-18,04:00,BUY,1.47,1.43,39.135,-1.71,SL,164.61
2026-04-22,00:00,BUY,1.44,1.41,52.258,-1.71,SL,162.91
2026-04-22,04:00,BUY,1.45,1.42,53.412,-1.69,SL,161.22
2026-04-22,08:00,BUY,1.45,1.42,55.401,-1.68,SL,159.54
2026-04-22,12:00,BUY,1.46,1.43,59.530,-1.66,SL,157.88
2026-04-22,16:00,BUY,1.44,1.41,58.473,-1.65,SL,156.23
2026-04-24,12:00,BUY,1.45,1.42,65.921,-1.64,SL,154.59
2026-04-24,16:00,BUY,1.44,1.41,62.336,-1.62,SL,152.98
2026-04-27,00:00,BUY,1.44,1.43,98.695,-1.64,SL,151.33
2026-04-29,00:00,SELL,1.39,1.36,61.769,+1.45,TP,152.78
2026-04-29,04:00,SELL,1.39,1.37,192.579,+4.37,TP,157.15
2026-04-29,08:00,SELL,1.39,1.37,201.474,+4.49,TP,161.64
2026-04-29,12:00,SELL,1.36,1.39,201.214,-5.07,SL,156.57
2026-04-29,16:00,SELL,1.35,1.38,179.967,-4.89,SL,151.68
2026-04-29,20:00,SELL,1.37,1.39,183.481,-4.75,SL,146.92
2026-04-30,00:00,SELL,1.37,1.40,58.073,-1.53,SL,145.39
2026-04-30,04:00,SELL,1.37,1.40,56.572,-1.52,SL,143.87
2026-04-30,08:00,SELL,1.37,1.39,55.550,-1.50,SL,142.37
2026-05-08,00:00,SELL,1.38,1.41,49.095,-1.48,SL,140.90
2026-05-08,04:00,SELL,1.38,1.41,49.264,-1.46,SL,139.43
2026-05-08,08:00,SELL,1.39,1.42,49.975,-1.45,SL,137.98
2026-05-08,12:00,SELL,1.40,1.42,50.728,-1.44,SL,136.54
2026-05-09,00:00,BUY,1.43,1.45,53.757,+1.30,TP,137.85
2026-05-09,04:00,BUY,1.42,1.45,163.455,+3.96,TP,141.81
2026-05-09,08:00,BUY,1.42,1.45,178.754,+4.05,TP,145.86
2026-05-09,12:00,BUY,1.41,1.44,190.253,+4.16,TP,150.02
2026-05-09,16:00,BUY,1.42,1.45,196.532,+4.28,TP,154.29
2026-05-09,20:00,BUY,1.42,1.44,230.291,+4.37,TP,158.66
2026-05-10,00:00,BUY,1.42,1.44,236.806,+4.49,TP,163.15
2026-05-10,04:00,BUY,1.42,1.44,254.922,+4.60,TP,167.75
2026-05-10,08:00,BUY,1.42,1.44,258.081,+4.74,TP,172.49
2026-05-10,12:00,BUY,1.44,1.46,246.414,+4.89,TP,177.38
2026-05-10,16:00,BUY,1.49,1.46,197.819,-5.55,SL,171.82
2026-05-10,20:00,BUY,1.47,1.44,165.746,-5.35,SL,166.48
